user_name,user_password,game_title,game_genre,game_developer,game_type,session_level,session_playtime,session_is_completed,achievement_list,achievement_points
mckeeadrian,#19Z$fk1%V,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 43,4259,False,Achiev_3,332
madison34,)48EcND#D@,Universal attitude-oriented data-warehouse,Action,Rogers-Weaver,mmo,Level 24,892,True,Achiev_73,184
sean69,%BXHeiHse6,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 38,1441,True,Achiev_33,177
barnesjason,6s^YRpQh&0,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 53,2313,False,Achiev_49,389
ccurtis,^i&U1WhVX!,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 35,2148,True,Achiev_83,159
travis57,%LY4KjMfDr,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 20,4619,False,Achiev_16,134
richardjohnson,eCGhB&Hy(3,Pre-emptive bottom-line initiative,Simulation,Pena LLC,singleplayer,Level 17,1553,False,Achiev_67,218
james73,fX_Gy2Zm!0,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 24,2534,False,Achiev_66,52
oford,0r5CQVbM$F,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 15,4528,True,Achiev_42,101
morganjonathon,^1gEOs10)J,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 53,545,True,Achiev_6,470
oford,0r5CQVbM$F,Versatile well-modulated moderator,RPG,Myers PLC,mmo,Level 35,2513,False,Achiev_22,131
gillroger,tYu9MuOk!c,Cloned executive solution,RPG,Allen-White,singleplayer,Level 16,4182,True,Achiev_72,322
michele48,d+ZW7S)GSi,Re-contextualized optimizing analyzer,Shooter,Lawrence Ltd,singleplayer,Level 45,4107,True,Achiev_38,365
julia10,@PL8MHofj7,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 33,766,False,Achiev_66,409
morganjonathon,^1gEOs10)J,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 18,4074,True,Achiev_17,260
matthew13,@VRTVHkB6*,Cloned executive solution,RPG,Allen-White,singleplayer,Level 22,4652,False,Achiev_28,24
david39,&P99vVsr#y,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 60,4901,True,Achiev_17,85
julia10,@PL8MHofj7,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 4,2714,False,Achiev_15,202
phawkins,#KWawSKav6,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 50,4361,True,Achiev_61,139
kingdeanna,kP*l2Fy*Mw,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 19,3254,False,Achiev_5,308
ccurtis,^i&U1WhVX!,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 59,3966,False,Achiev_5,34
joshua09,)yDjjmbf95,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 37,1204,False,Achiev_28,120
kingdeanna,kP*l2Fy*Mw,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 49,4710,False,Achiev_69,392
schmidtlori,48YOf+)7_9,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 59,2501,True,Achiev_41,36
elizabeth56,EERkTdTe(3,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 40,1167,False,Achiev_7,344
connor89,q25$3IlAu*,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 49,3733,False,Achiev_99,182
jameswilkins,(5YyBb2nMA,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 3,4466,False,Achiev_96,387
williamsbrandon,79MPcC_u(f,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 55,3998,True,Achiev_1,120
shannonhill,!F($y8CxR0,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 60,2847,True,Achiev_38,111
keith83,Q*1pDOyza@,Balanced demand-driven success,Shooter,Wyatt Ltd,singleplayer,Level 43,3439,False,Achiev_32,15
williamstammy,p#5lQBIg+9,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 58,1233,False,Achiev_71,236
ustevenson,89@Lp0ey&H,Reduced regional policy,RPG,Simpson LLC,mmo,Level 17,3320,True,Achiev_26,327
eric33,RPCr2SOc(L,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 50,2457,True,Achiev_78,85
phawkins,#KWawSKav6,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 8,487,False,Achiev_36,442
johnsonstacey,(4Rykvm9b4,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 49,3286,True,Achiev_20,66
matthew13,@VRTVHkB6*,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 44,759,True,Achiev_55,129
collinsjessica,3$4E0hLh@h,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 42,2583,True,Achiev_62,250
jeffreydavis,&nWpTQhM+3,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 53,1798,True,Achiev_75,225
