user_name,user_password,game_title,game_genre,game_developer,game_type,session_level,session_playtime,session_is_completed,achievement_list,achievement_points
jason77,y0LzcQqB+B,Profit-focused dedicated capability,Shooter,Johnson-Perry,singleplayer,Level 57,3751,True,Achiev_55,292
shelby36,#btD%MM9S@,Up-sized systematic application,RPG,Lutz PLC,mmo,Level 30,4022,True,Achiev_51,318
carteranthony,Iv8VZdukK%,Cloned analyzing challenge,Action,"Harris, Oneal and Chapman",singleplayer,Level 16,3812,False,Achiev_64,262
bryancruz,yxK4wKTba+,Profit-focused dedicated capability,Shooter,Johnson-Perry,singleplayer,Level 45,3638,False,Achiev_7,147
alyssa80,N+8&rwV!eo,Integrated eco-centric adapter,Action,"Hopkins, Willis and Jordan",mmo,Level 26,1136,True,Achiev_25,149
shelby36,#btD%MM9S@,User-centric fault-tolerant synergy,Shooter,Santos-Tyler,mmo,Level 13,1781,True,Achiev_76,46
taraortega,)^0b+L6ePw,Profit-focused dedicated capability,Shooter,Johnson-Perry,singleplayer,Level 2,1167,False,Achiev_62,269
summersmorgan,^kU0_WfX5^,Business-focused holistic project,RPG,Smith-Palmer,singleplayer,Level 20,386,False,Achiev_95,136
edwardskatherine,@d8GiMFzNJ,Integrated contextually-based groupware,Shooter,"Lawson, Johnson and Martinez",singleplayer,Level 17,116,False,Achiev_79,466
xthomas,uC4RnIPj3*,Focused 6thgeneration projection,Action,Malone Ltd,singleplayer,Level 44,587,True,Achiev_64,38
mullenjonathan,+JBjh)XM@1,Triple-buffered content-based approach,Simulation,Morgan-Foster,singleplayer,Level 35,4512,True,Achiev_62,318
mward,(B7gJrGDg@,Programmable impactful moratorium,RPG,Gould Ltd,singleplayer,Level 29,389,True,Achiev_6,141
edwardskatherine,@d8GiMFzNJ,Synergized secondary model,Shooter,Melendez PLC,singleplayer,Level 30,526,True,Achiev_70,475
diane33,n5u%eRQ$+T,Optional incremental adapter,Strategy,"Rose, Martin and Chavez",mmo,Level 18,4711,True,Achiev_11,65
briangreen,ZxSO9Ehy^5,Fully-configurable object-oriented capability,Simulation,Pope Ltd,mmo,Level 44,2939,True,Achiev_89,17
pcole,FkTca$2+_2,Enterprise-wide discrete projection,Shooter,Norman-Durham,singleplayer,Level 4,4979,True,Achiev_81,139
lindsayhayes,6$&37Eek1(,Switchable multi-tasking forecast,Action,"Willis, Weeks and Flores",singleplayer,Level 25,3716,False,Achiev_21,15
kaylamiller,*sLT1+Iv#k,Expanded dedicated orchestration,Strategy,Stewart-Barrera,mmo,Level 51,660,False,Achiev_36,381
qbuck,%ZFBfFst$3,Integrated eco-centric adapter,Action,"Hopkins, Willis and Jordan",mmo,Level 25,3187,False,Achiev_27,156
michaelnelson,!o8El8aMNT,Profit-focused dedicated capability,Shooter,Johnson-Perry,singleplayer,Level 16,3317,True,Achiev_69,14
edwardskatherine,@d8GiMFzNJ,Expanded dedicated orchestration,Strategy,Stewart-Barrera,mmo,Level 43,4923,False,Achiev_60,190
iwatkins,$eWMveuJP7,Decentralized dynamic array,Simulation,Rodriguez and Sons,mmo,Level 8,65,True,Achiev_96,454
scottdaniel,EoPa1xBUF$,Down-sized intangible migration,Strategy,Jordan Inc,mmo,Level 52,4085,True,Achiev_20,46
daniel20,)gglTM1b#8,Integrated eco-centric adapter,Action,"Hopkins, Willis and Jordan",mmo,Level 1,4241,False,Achiev_98,426
ngraham,lx6LKb&1)4,Secured homogeneous knowledgebase,Action,"Preston, Thornton and Morgan",singleplayer,Level 34,3038,False,Achiev_38,369
mikegarza,_4J9MadiFn,Profit-focused bottom-line moratorium,Shooter,Martin Group,mmo,Level 25,1094,True,Achiev_25,385
